Date,Sales,CPI,GDP,DPI,Unemp,Interest rate
2005/1/1,509901,190.7333333,12816.2,9187.533333,5.3,2.496666667
2005/4/1,526701,191.9333333,12975.7,9321.833333,5.1,2.973333333
2005/7/1,500105,194.5,13206.5,9472.433333,4.966666667,3.46
2005/10/1,858446,196.8666667,13383.3,9625.3,4.966666667,4.026666667
2006/1/1,539241,197.8666667,13649.8,9890.7,4.733333333,4.48
2006/4/1,574940,198.9333333,13802.9,9981.966667,4.633333333,4.956666667
2006/7/1,547786,202.3,13910.5,10082,4.633333333,5.223333333
2006/10/1,986354,203.4333333,14068.4,10196.26667,4.433333333,5.213333333
2007/1/1,595729,201.7,14235,10358.83333,4.5,5.223333333
2007/4/1,662562,203.7556667,14424.5,10461.6,4.5,5.23
2007/7/1,627323,207.6623333,14571.9,10548.06667,4.666666667,5.136666667
2007/10/1,1053157,208.2353333,14690,10662.93333,4.8,4.476666667
2008/1/1,665480,209.7163333,14672.9,10832.36667,5,2.956666667
2008/4/1,729634,212.1003333,14817.1,11175.46667,5.333333333,2.076666667
2008/7/1,616152,216.7566667,14844.3,11031.76667,6,2.073333333
2008/10/1,837593,219.2776667,14546.7,10941.83333,6.866666667,0.803333333
2009/1/1,517615,213.0753333,14381.2,10843.06667,8.266666667,0.216666667
2009/4/1,612493,212.015,14342.1,10973.46667,9.3,0.206666667
2009/7/1,598212,214.263,14384.4,10930.23333,9.633333333,0.163333333
2009/10/1,981384,215.718,14564.1,11001.83333,9.933333333,0.13
2010/1/1,633586,216.152,14672.5,11048.7,9.8,0.136666667
2010/4/1,668760,217.0196667,14879.2,11206.4,9.633333333,0.196666667
2010/7/1,681729,218.0506667,15049.8,11292.63333,9.5,0.203333333
2010/10/1,1101215,218.254,15231.7,11427.13333,9.566666667,0.2
2011/1/1,761018,218.8976667,15242.9,11653.93333,9.033333333,0.183333333
2011/4/1,872712,221.6663333,15461.9,11748.6,9.066666667,0.12
2011/7/1,821767,225.5306667,15611.8,11862.03333,9,0.093333333
2011/10/1,1187440,226.452,15818.7,11884.83333,8.633333333,0.096666667
2012/1/1,819170,226.1076667,16041.6,12085.73333,8.233333333,0.113333333
2012/4/1,886569,227.9066667,16160.4,12171.83333,8.2,0.133333333
2012/7/1,852741,229.7926667,16356,12205.13333,8.033333333,0.133333333
2012/10/1,1235769,230.2966667,16420.3,12520.36667,7.833333333,0.136666667
2013/1/1,895484,230.3796667,16535.3,12296.86667,7.7,0.113333333